review_text
Good phone in this price range
Good camera overall good phone
Mobile looks extremely good and premium Camera quality is exceptional Charges quickly Drawback  battery drains quickly despite no overuse I basically use the phone just fr calls whats app n so
Nice product 
Nice phone
Everything is good but Motorola should also launch mobiles in same range without curve display
Phone is good but there is less one gallery app in the phone its provide only google photo while no default photovideo gallery  Also phone have no cover for safety purpose
Very good image quality 
One of the best phones in this price range Pros Design It has got a very sleek design with great looks and is light weight Display Curved screen is very good with vibrant colours and crystal clear 
Sony lytia 700 Camera is superb   Processor is also good   UI have lot of customisation    Battery  backup very good   4k playback and recording is brilliant  Best phone in segment   Probl
Super fully satisfied
This phone is just awesome
Great product by Motorola with allround specifications Really loved it  Display  1010 Performance  910 Battery  910 Camera  9510 Sound  1010 Ui experience  1010 Great purchase till 
Pros Camera is good but not that much great its okish details feels like little bit clumsy Good Display Sound quality is good than poco or any other mobiles in this price range Battery its fine
Superb performance camera  and battery
Overall good phone
The display and the camera of this phone in this price range is mindbogglingonce you bought this you will never regret as per my opinion
The look and feel is just awesome you will love the display the camera is also very good considering the price range Best phone to consider right now if your priority is Display Camera and Durability
Value of money mobile good camera very good battery
Worth every penny camera battery the curved display everything is just mind blowing go for this mobile without any second thought and i am sure you wont regret it
Very good mobile
Very good
Price worthC2C charger cable Light waitgood display Dolby
Display 55 Camera 55 Performance 54 Battery  55 Sound quality good 55 Overall performance was excellent  Ill give you the review ofter 10 days Im using mobile
Phone is getting hot after continuous using Performance could be better But overall good phone at this price
Camara Quality is awesome battery backup awesome 
Camera55 Battery 55 Display55 Design 55 Performance 45  Some time phone lag or may be application issue I hope it will improve by next update
This phone is very very camera sentry phone Battery performance and good looking phone  Edge 60 fusion
Camera is awesome and realistic
Everything is good but atleast back cover should be provided
Selfie camera is average rest is fine
Best camera quality 
Looks Beautiful
Great Phone by Moto
Great display 
This phone is quite good at this pricealso camera and display design is too good
One of the best camera phone in that price range
